"","x","province","area","stratum_sample_size","F","L","U"
"1",1,"Kabul","Urban",717,-0.00445479368881016,-0.00664959058052983,-0.00246079198949092
"2",2,"Maidan Wardak","Rural",761,-0.00328510280029426,-0.0055638251571722,-0.00118354534583596
"3",3,"Logar","Urban",62,-0.00287493316466018,-0.00597382594595898,-8.18944738371219e-05
"4",4,"Logar","Rural",894,-0.00286096848713585,-0.00516530086097359,-0.000774640929290527
"5",5,"Nangarhar","Urban",134,-0.00273079998170061,-0.00498458479792118,-0.000680532879828521
"6",6,"Nangarhar","Rural",756,-0.00272762614567113,-0.0047877260744202,-0.000710187696484289
"7",7,"Laghman","Urban",46,-0.00272464052195164,-0.00493668445444331,-0.000641903747005665
"8",8,"Laghman","Rural",815,-0.00270875853950305,-0.00583299495046531,-9.21772660954583e-05
"9",9,"Panjsher","Rural",668,-0.00269334672443155,-0.00535111081510507,-0.000371825376858118
"10",10,"Baghlan","Urban",246,-0.00268808718196151,-0.00448582559122166,-0.000990900950505611
"11",11,"Baghlan","Rural",357,-0.00259832505923799,-0.00407450105115655,-0.00121649253855062
"12",12,"Bamyan","Urban",127,-0.00258185167210904,-0.00461244165743299,-0.000596649973763742
"13",13,"Bamyan","Rural",633,-0.00257901052512726,-0.00489589969565758,-0.000479718204383489
"14",14,"Kabul","Rural",159,-0.00231536896404256,-0.00468096276232118,-0.000146051682365946
"15",15,"Ghazni","Urban",72,-0.0023049045299146,-0.00509859515551251,0.00023754338092519
"16",16,"Ghazni","Rural",735,-0.00225233173844034,-0.00488839415081855,0.00037008826407718
"17",17,"Paktika","Urban",31,-0.00224569606287466,-0.00510110387161649,0.000334670529799589
"18",18,"Paktika","Rural",994,-0.00214842946188382,-0.00440732932926338,0.000108343306413151
"19",19,"Paktya","Urban",166,-0.00209264635318011,-0.00493294189562827,0.000518400761261128
"20",20,"Kapisa","Urban",64,-0.00206200133164031,-0.00494219567349732,0.000594396733910671
"21",21,"Paktya","Rural",907,-0.00205807878342262,-0.00475403218011584,0.00059617540610453
"22",22,"Khost","Urban",149,-0.00204879714310023,-0.00428869806448059,0.000177834619333231
"23",23,"Kapisa","Rural",655,-0.00204804469816792,-0.00444372001702903,0.000189541052844563
"24",24,"Khost","Rural",1039,-0.00204296638110596,-0.00482180237299271,0.000733227099148366
"25",25,"Kunarha","Urban",92,-0.00204032091295136,-0.00483025758504088,0.000719085799352115
"26",26,"Kunarha","Rural",747,-0.00203758916167072,-0.00427000955434611,0.000137672303938202
"27",27,"Nooristan","Rural",969,-0.00203493866915075,-0.00383014786583798,-0.000214525506513727
"28",28,"Badakhshan","Urban",57,-0.0020337664985221,-0.00371375484435065,-0.000433297884035947
"29",29,"Badakhshan","Rural",670,-0.00203080343120309,-0.00438994031595903,0.000453046512532715
"30",30,"Takhar","Urban",96,-0.00200635214592692,-0.00486367802060168,0.000893747604069891
"31",31,"Takhar","Rural",587,-0.00198893321925682,-0.00479426479371685,0.000888076842901461
"32",32,"Kunduz","Urban",229,-0.00198656417551815,-0.00477558272020132,0.000882032935520278
"33",33,"Kunduz","Rural",522,-0.00195300852031816,-0.00354548045700116,-0.000313253523418748
"34",34,"Samangan","Urban",98,-0.00194994021720386,-0.00482880063876119,0.000887090128231518
"35",35,"Samangan","Rural",668,-0.00193820501129253,-0.00403096040320018,0.000134930068599099
"36",36,"Balkh","Urban",260,-0.00193052351992174,-0.00453898777925961,0.000836149453437379
"37",37,"Balkh","Rural",408,-0.0019124479782676,-0.00473765370971779,0.00082824506486118
