"","x","province","area","stratum_sample_size","F","L","U"
"1",1,"Kabul","Urban",717,-0.0672197060507944,-0.129364065179922,-0.0144253006391361
"2",2,"Maidan Wardak","Rural",761,-0.0607207762308695,-0.119242439992064,-0.00876250268728297
"3",3,"Logar","Urban",62,-0.0529687755559293,-0.119752513060321,0.00605255409983157
"4",4,"Logar","Rural",894,-0.0483528939932331,-0.095337992322176,-0.00385353950397459
"5",5,"Nangarhar","Urban",134,-0.034509796863514,-0.0723901825298494,0.00150800934590003
"6",6,"Nangarhar","Rural",756,-0.033258935058914,-0.111969376729149,0.041157340083751
"7",7,"Laghman","Urban",46,-0.0331228093888942,-0.107210448231006,0.0325744190950779
"8",8,"Laghman","Rural",815,-0.03309310828673,-0.0854614841769818,0.0125076447192817
"9",9,"Panjsher","Rural",668,-0.0322718291288534,-0.0900844278544599,0.0237672732347571
"10",10,"Baghlan","Urban",246,-0.0322205702358898,-0.107451424824163,0.0367962286426776
"11",11,"Baghlan","Rural",357,-0.0317174144650925,-0.105291062476281,0.034800760047921
"12",12,"Bamyan","Urban",127,-0.0299615574223516,-0.0985934781624567,0.0369134374607135
"13",13,"Bamyan","Rural",633,-0.0289778922639013,-0.0827198897836874,0.0248373379660886
"14",14,"Kabul","Rural",159,-0.0288604552032009,-0.0948945631874069,0.0362181873911962
"15",15,"Ghazni","Urban",72,-0.0275938289686093,-0.0811186904387594,0.0303715967024219
"16",16,"Ghazni","Rural",735,-0.0273152298010165,-0.100470236207157,0.0434306355880752
"17",17,"Paktika","Urban",31,-0.0267909035926582,-0.0894585091649905,0.0349414358945521
"18",18,"Paktika","Rural",994,-0.0256959380387461,-0.0962291497748359,0.0392663523163246
"19",19,"Paktya","Urban",166,-0.0246148583200831,-0.101637305610829,0.0502749518926809
"20",20,"Kapisa","Urban",64,-0.0243461769489938,-0.0834734766636323,0.0377529091656952
"21",21,"Paktya","Rural",907,-0.0242733708421171,-0.0911285593660087,0.0467087658339981
"22",22,"Khost","Urban",149,-0.023899469396166,-0.0960774632873303,0.0492385467050759
"23",23,"Kapisa","Rural",655,-0.0226438774657694,-0.101687770813545,0.0545358959551568
"24",24,"Khost","Rural",1039,-0.0226022881602203,-0.0855153746133082,0.0426449692289522
"25",25,"Kunarha","Urban",92,-0.0223312459401861,-0.0956614602416223,0.0490411511795168
"26",26,"Kunarha","Rural",747,-0.0218157789229558,-0.0936533336278802,0.05183906717151
"27",27,"Nooristan","Rural",969,-0.0213977834681029,-0.0792008074674438,0.0389104053690116
"28",28,"Badakhshan","Urban",57,-0.0212176976943635,-0.0931613774177619,0.0514120606082674
"29",29,"Badakhshan","Rural",670,-0.0210471499315898,-0.0906694715359011,0.0480134277715729
"30",30,"Takhar","Urban",96,-0.0208218380945929,-0.0829480308813475,0.0395945021366951
"31",31,"Takhar","Rural",587,-0.020633929180104,-0.0781830992038901,0.0362870040539963
"32",32,"Kunduz","Urban",229,-0.020374043491943,-0.0854289301276809,0.0442423764808015
"33",33,"Kunduz","Rural",522,-0.0201932481829934,-0.0768237303242956,0.0376754539515704
"34",34,"Samangan","Urban",98,-0.0198929581877978,-0.0928589647642423,0.055121082252002
"35",35,"Samangan","Rural",668,-0.0194966879700791,-0.0858626696445369,0.0466272335397652
"36",36,"Balkh","Urban",260,-0.0193192291235117,-0.0961409900337744,0.0563189131131301
"37",37,"Balkh","Rural",408,-0.0192849561569378,-0.0843371559255641,0.0449823898014628
"38",38,"Sar-e-Pul","Urban",57,-0.0186864351170971,-0.0866775605935228,0.0470955823112084
"39",39,"Sar-e-Pul","Rural",831,-0.0179479570626983,-0.0859605773678328,0.0505020075635196
"40",40,"Parwan","Urban",140,-0.0168496768003231,-0.0868736363949348,0.0522506663604227
"41",41,"Ghor","Urban",52,-0.0165249468501828,-0.0773943215417009,0.0458846476346813
"42",42,"Ghor","Rural",722,-0.0162385259895776,-0.0916621804609035,0.0587218724867575
"43",43,"Daykundi","Urban",52,-0.0160844889861503,-0.0786441219668164,0.041826273980763
"44",44,"Daykundi","Rural",690,-0.0158903137728479,-0.0918737025624122,0.0580203415285106
"45",45,"Parwan","Rural",722,-0.0133355401339003,-0.0741519925742638,0.0495536393079957
"46",46,"Urozgan","Urban",93,-0.0132892644974902,-0.0744714148324734,0.0511159510125579
"47",47,"Urozgan","Rural",669,-0.0126839947393414,-0.0801554412125538,0.0527331010467519
"48",48,"Zabul","Urban",112,-0.0125421227216385,-0.0687553074591517,0.0416903127973949
"49",49,"Zabul","Rural",783,-0.0119329383308269,-0.0537926812341014,0.0306453049708781
"50",50,"Kandahar","Urban",396,-0.011111612711952,-0.065381614287945,0.0436927540269868
"51",51,"Kandahar","Rural",688,-0.0100084079135463,-0.0800021208538026,0.061096897891914
"52",52,"Jawzjan","Urban",243,-0.0088553201918361,-0.0668369768072911,0.0506719378855229
"53",53,"Jawzjan","Rural",681,-0.00778530941663149,-0.0782225430349757,0.0646485370114964
"54",54,"Faryab","Urban",120,-0.00632678769834579,-0.0574038221213106,0.0464256470623807
"55",55,"Faryab","Rural",692,-0.00630276253204267,-0.0655400516610058,0.0545454521674015
"56",56,"Helmand","Urban",127,-0.0058995480068315,-0.055018782558136,0.0463733142877874
"57",57,"Helmand","Rural",795,-0.00449885402771386,-0.0765004127643225,0.0754785572647658
"58",58,"Badghis","Urban",50,-0.00408937035442972,-0.0729776657602321,0.0677041276843297
"59",59,"Badghis","Rural",704,-0.00256585220881776,-0.0540359242645462,0.0516381066658968
"60",60,"Herat","Urban",340,0.00419023866654409,-0.0557388731508446,0.0699551738055132
"61",61,"Herat","Rural",692,0.00702791915281483,-0.0420323843590211,0.0611923400779557
"62",62,"Maidan Wardak","Urban",52,0.0073556089537115,-0.051142816173394,0.0685161413270139
"63",63,"Farah","Urban",52,0.00934308992666105,-0.0437415409445402,0.0653467061504366
"64",64,"Farah","Rural",651,0.0141197798033687,-0.0385006489520323,0.0706848177076766
"65",65,"Nimroz","Urban",190,0.0152523544189843,-0.0458845985131491,0.0828931739432156
"66",66,"Nimroz","Rural",577,0.0232420413529068,-0.0248258951131787,0.0720960280104915
