"","x","province","area","stratum_sample_size","F","L","U"
"1",1,"Kabul","Urban",717,-0.106513666822444,-0.157500698413558,-0.0545322664439368
"2",2,"Maidan Wardak","Rural",761,-0.0895965093424247,-0.148705420160263,-0.0333841783136477
"3",3,"Logar","Urban",62,-0.0757468455274517,-0.115975405709089,-0.0356757362650536
"4",4,"Logar","Rural",894,-0.0571925870779966,-0.113205505730402,-0.0032625215775535
"5",5,"Nangarhar","Urban",134,-0.0543612280893641,-0.123250864328323,0.010804203309078
"6",6,"Nangarhar","Rural",756,-0.0506211559534088,-0.109381474828906,0.0067598893029039
"7",7,"Laghman","Urban",46,-0.0414848720846741,-0.11796243199698,0.0339144758707426
"8",8,"Laghman","Rural",815,-0.0393748311337139,-0.114144113014957,0.0333444354722278
"9",9,"Panjsher","Rural",668,-0.0385908814261021,-0.111072861738437,0.0315026451890645
"10",10,"Baghlan","Urban",246,-0.038484873939922,-0.107465654659368,0.0324975631273093
"11",11,"Baghlan","Rural",357,-0.0369783785454024,-0.0872631954971971,0.0109728648432279
"12",12,"Bamyan","Urban",127,-0.0357831438595639,-0.0898651015784066,0.0165631220226774
"13",13,"Bamyan","Rural",633,-0.0356970631376771,-0.105003904927883,0.030383600909932
"14",14,"Kabul","Rural",159,-0.0355088681931811,-0.102844276837816,0.0258758784228831
"15",15,"Ghazni","Urban",72,-0.033229108081046,-0.107151076617234,0.0393328128160229
"16",16,"Ghazni","Rural",735,-0.0332267732003122,-0.108856355469968,0.0374072180286908
"17",17,"Paktika","Urban",31,-0.0319720760196402,-0.0893311512117676,0.0233043149915471
"18",18,"Paktika","Rural",994,-0.0300897744390255,-0.106416749886436,0.0423446981981438
"19",19,"Paktya","Urban",166,-0.0290452757942118,-0.1029002895626,0.0455279266261838
"20",20,"Kapisa","Urban",64,-0.0284721284291907,-0.0970117283937793,0.0371148924522394
"21",21,"Paktya","Rural",907,-0.0274114703102815,-0.0883195455443341,0.03725488000107
"22",22,"Khost","Urban",149,-0.0273855688505864,-0.103840962838677,0.0518491058367207
"23",23,"Kapisa","Rural",655,-0.0259214899387057,-0.0962437880467371,0.0419255202982941
"24",24,"Khost","Rural",1039,-0.0257488162895718,-0.102527838203474,0.0560140888973688
"25",25,"Kunarha","Urban",92,-0.0256204768270896,-0.0839926657892957,0.0304242611768825
"26",26,"Kunarha","Rural",747,-0.0249222866312966,-0.103801571960572,0.0544772541116133
"27",27,"Nooristan","Rural",969,-0.0241880860878707,-0.102511965337063,0.0507016108290433
"28",28,"Badakhshan","Urban",57,-0.0233244464748717,-0.0836966299750135,0.0353615648807122
"29",29,"Badakhshan","Rural",670,-0.0231324637643347,-0.066059041437678,0.0207183027900541
"30",30,"Takhar","Urban",96,-0.0221792289326331,-0.0956209262068466,0.0535122914797273
"31",31,"Takhar","Rural",587,-0.0217583019123544,-0.0822776963149059,0.0388796533035999
"32",32,"Kunduz","Urban",229,-0.0217525745209538,-0.0866956529222099,0.040504565089525
"33",33,"Kunduz","Rural",522,-0.021702693257108,-0.085463972850231,0.0437199919868266
"34",34,"Samangan","Urban",98,-0.0212299310046427,-0.0891733295878822,0.0476869348971804
"35",35,"Samangan","Rural",668,-0.0209932833468406,-0.0928060781598504,0.0501464883185965
"36",36,"Balkh","Urban",260,-0.0206730754533738,-0.0925694693102362,0.0499047980824915
"37",37,"Balkh","Rural",408,-0.0206016926625405,-0.089591554238199,0.0509383760728541
"38",38,"Sar-e-Pul","Urban",57,-0.0203181627340347,-0.101956693923786,0.0571443093555007
"39",39,"Sar-e-Pul","Rural",831,-0.0197791051656544,-0.0822634024328122,0.0466113084583156
"40",40,"Parwan","Urban",140,-0.0194501779117352,-0.0856620675489574,0.0427158104720721
"41",41,"Ghor","Urban",52,-0.0188244809898427,-0.0903613805845875,0.0534175733917857
"42",42,"Ghor","Rural",722,-0.018169015571188,-0.077729481376438,0.0412598223983243
"43",43,"Daykundi","Urban",52,-0.0180648841014359,-0.0824969426019318,0.0443422086419083
"44",44,"Daykundi","Rural",690,-0.016774744980917,-0.07545462531391,0.0439181851741601
"45",45,"Parwan","Rural",722,-0.0166273040053426,-0.0945798440145301,0.0585520557162565
"46",46,"Urozgan","Urban",93,-0.0164166241822698,-0.0826771350979119,0.0494491043055305
"47",47,"Urozgan","Rural",669,-0.0163763963946222,-0.0713167769924686,0.0395303004192281
"48",48,"Zabul","Urban",112,-0.0156818061700568,-0.0915056970138175,0.0635560636105152
"49",49,"Zabul","Rural",783,-0.0148072898051984,-0.0766360952546535,0.0454344482254299
"50",50,"Kandahar","Urban",396,-0.0141497239378059,-0.089776561494028,0.0683855009914733
"51",51,"Kandahar","Rural",688,-0.0133354211929141,-0.0778287753606435,0.0526759301446617
"52",52,"Jawzjan","Urban",243,-0.0132791171509532,-0.0751553177983271,0.0466126669227548
"53",53,"Jawzjan","Rural",681,-0.0131251462933445,-0.0951943314461255,0.072187694846089
"54",54,"Faryab","Urban",120,-0.0129945733353104,-0.0612715703967139,0.0378475790855657
"55",55,"Faryab","Rural",692,-0.0129183401338488,-0.0810532854868181,0.0594986635497465
"56",56,"Helmand","Urban",127,-0.0105102029997287,-0.0621567751149287,0.0438381603410433
"57",57,"Helmand","Rural",795,-0.0104936936289122,-0.0691181417740157,0.0499533757062327
"58",58,"Badghis","Urban",50,-0.00998170777996482,-0.0518663436031436,0.0330105517868105
