"","x","province","area","stratum_sample_size","F","L","U"
"1",1,"Kabul","Urban",717,-0.0252479575253746,-0.100155724004155,0.0419597886623052
"2",2,"Maidan Wardak","Rural",761,-0.0235133687853812,-0.122237691812601,0.0663245886435051
"3",3,"Logar","Urban",62,-0.0211446790395809,-0.128794373176713,0.0756539978667805
"4",4,"Logar","Rural",894,-0.0186125664808238,-0.103321767489511,0.0660683457877628
"5",5,"Nangarhar","Urban",134,-0.0184162682316424,-0.0973690589685297,0.0590300059427556
"6",6,"Nangarhar","Rural",756,-0.017497333189367,-0.0830053969650359,0.0446782438941116
"7",7,"Laghman","Urban",46,-0.0173603848782607,-0.10546556662061,0.0640743463182265
"8",8,"Laghman","Rural",815,-0.00971903060282297,-0.0847685895162002,0.0645880439564145
"9",9,"Panjsher","Rural",668,-0.00752727295981456,-0.0837037162831895,0.0698447868854196
"10",10,"Baghlan","Urban",246,-0.00642242763092667,-0.109180962029139,0.0911486109698488
"11",11,"Baghlan","Rural",357,-0.00517282305289066,-0.0841756842423846,0.071199605887563
"12",12,"Bamyan","Urban",127,-0.000307658410517667,-0.0623211932361453,0.0606889018088077
"13",13,"Bamyan","Rural",633,0.000475964676978647,-0.106039449210949,0.0979312429601834
"14",14,"Kabul","Rural",159,0.00416643955794074,-0.0750107439367097,0.0842172721436328
"15",15,"Ghazni","Urban",72,0.00513169512384507,-0.092721168744383,0.0956862517030399
"16",16,"Ghazni","Rural",735,0.00675399294200226,-0.0932020947118665,0.102139786312549
"17",17,"Paktika","Urban",31,0.00761704276820041,-0.0490325559896958,0.0626783074250422
"18",18,"Paktika","Rural",994,0.0089282789526465,-0.0870045882854777,0.10102275211469
"19",19,"Paktya","Urban",166,0.00948353357148776,-0.0608481855006747,0.0784867758231191
"20",20,"Kapisa","Urban",64,0.0103707721248941,-0.0699937407699727,0.0883416612865749
"21",21,"Paktya","Rural",907,0.0112375635574512,-0.0765375775384775,0.0966788461077949
"22",22,"Khost","Urban",149,0.0119533466778641,-0.0866885533147426,0.104165197437192
"23",23,"Kapisa","Rural",655,0.0122257578058205,-0.0504390514368077,0.0708599475358723
"24",24,"Khost","Rural",1039,0.0127090899940029,-0.0578306925181241,0.0828410881296586
"25",25,"Kunarha","Urban",92,0.0134640500173468,-0.0899533018826909,0.113604406652245
"26",26,"Kunarha","Rural",747,0.014391682390589,-0.0917363328619095,0.114087652451902
"27",27,"Nooristan","Rural",969,0.0147305947026735,-0.0850308156323579,0.107834508416535
"28",28,"Badakhshan","Urban",57,0.014758237853009,-0.0718965005023863,0.10193558876434
"29",29,"Badakhshan","Rural",670,0.0174522830571721,-0.082835707828805,0.11720074186757
"30",30,"Takhar","Urban",96,0.0176858136525452,-0.0785837425257275,0.113517573075963
