"","x","province","area","stratum_sample_size","F","L","U"
"1",1,"Kabul","Urban",717,-0.094782952318724,-0.162638043445443,-0.0308447501949268
"2",2,"Maidan Wardak","Rural",761,-0.0915094790180605,-0.161193831395628,-0.0254782295115194
"3",3,"Logar","Urban",62,-0.0770150796537519,-0.130806647659236,-0.025201380522631
"4",4,"Logar","Rural",894,-0.071181653736617,-0.145283202125587,-0.00380221724821555
"5",5,"Nangarhar","Urban",134,-0.0678860093825402,-0.136470825818974,0.000760514669322957
"6",6,"Nangarhar","Rural",756,-0.0657979477595311,-0.143543823425861,0.0096298505792977
"7",7,"Laghman","Urban",46,-0.065271893964763,-0.141880227088528,0.00844170238281665
"8",8,"Laghman","Rural",815,-0.0621542180399068,-0.120005973390054,-0.00428912403202997
"9",9,"Panjsher","Rural",668,-0.0616880617778803,-0.133874477943528,0.00922458346675868
"10",10,"Baghlan","Urban",246,-0.0596046063898143,-0.132475412094267,0.0132456407757554
"11",11,"Baghlan","Rural",357,-0.05919781565665,-0.129817765871826,0.00998108716805039
"12",12,"Bamyan","Urban",127,-0.0583443355225974,-0.126675759733001,0.0104902671684235
"13",13,"Bamyan","Rural",633,-0.0583431451506338,-0.12533812423945,0.00921797184474554
"14",14,"Kabul","Rural",159,-0.0579235167430725,-0.114457749335532,-0.000519016388942284
"15",15,"Ghazni","Urban",72,-0.0573006796918907,-0.123850231051216,0.00550569430036596
"16",16,"Ghazni","Rural",735,-0.057231685310864,-0.125273792870661,0.00964096262234592
"17",17,"Paktika","Urban",31,-0.0563903967655028,-0.111136445275088,-0.000280799728570743
"18",18,"Paktika","Rural",994,-0.0561910339675241,-0.117884459979323,-0.00144505140121971
"19",19,"Paktya","Urban",166,-0.056155828309628,-0.133023505411417,0.0165989414318247
"20",20,"Kapisa","Urban",64,-0.0560409203360848,-0.131657255224615,0.0159521737842661
"21",21,"Paktya","Rural",907,-0.055960832916283,-0.132022519246294,0.02095857277196
"22",22,"Khost","Urban",149,-0.0558950134118978,-0.132240045966061,0.0234625319137063
"23",23,"Kapisa","Rural",655,-0.0557494728036245,-0.119402160209407,0.00838676289857086
"24",24,"Khost","Rural",1039,-0.0557407000883326,-0.133076323630017,0.0153503056826877
"25",25,"Kunarha","Urban",92,-0.0557110930402753,-0.132745578411367,0.0159942458289459
"26",26,"Kunarha","Rural",747,-0.0551814276539085,-0.131391357039464,0.0159425191841744
"27",27,"Nooristan","Rural",969,-0.0541028140570051,-0.134509683479484,0.0229067906165319
"28",28,"Badakhshan","Urban",57,-0.0540197400664519,-0.112147107462731,0.00537751190898247
"29",29,"Badakhshan","Rural",670,-0.0538119846406558,-0.119941525092041,0.0169651805802856
"30",30,"Takhar","Urban",96,-0.0535399792789289,-0.132562703241844,0.0213856662634127
"31",31,"Takhar","Rural",587,-0.052883980663364,-0.128698350006455,0.0278726198449621
"32",32,"Kunduz","Urban",229,-0.052593443217032,-0.130456458397129,0.0227655540325424
"33",33,"Kunduz","Rural",522,-0.0524303273940674,-0.123983696125994,0.0163337047723323
"34",34,"Samangan","Urban",98,-0.0515608288185068,-0.128060702343402,0.0229737340646597
"35",35,"Samangan","Rural",668,-0.0512128219068806,-0.118961580527631,0.019313369597263
"36",36,"Balkh","Urban",260,-0.0511499674658485,-0.125966592999534,0.0227094488880554
"37",37,"Balkh","Rural",408,-0.0510088365948718,-0.120563510672903,0.0166557009787633
"38",38,"Sar-e-Pul","Urban",57,-0.0510083410952933,-0.123433556327549,0.0228912792419376
"39",39,"Sar-e-Pul","Rural",831,-0.0506981347067292,-0.117151746815053,0.017969247289042
"40",40,"Parwan","Urban",140,-0.0498913589634338,-0.104462497139267,0.00965441455860969
"41",41,"Ghor","Urban",52,-0.0498490535968277,-0.12228243548784,0.0243088659631413
"42",42,"Ghor","Rural",722,-0.0497300763616117,-0.123823218723974,0.0276511587941007
"43",43,"Daykundi","Urban",52,-0.0492736651877537,-0.128841696318296,0.029141700783476
"44",44,"Daykundi","Rural",690,-0.0492136354747458,-0.110930544505748,0.0102357439449504
"45",45,"Parwan","Rural",722,-0.0489015877703275,-0.109552970592688,0.0120402388114401
"46",46,"Urozgan","Urban",93,-0.0488779107709011,-0.121210893131205,0.0240040833126406
"47",47,"Urozgan","Rural",669,-0.0485796461169757,-0.12093308109336,0.0260905699477734
"48",48,"Zabul","Urban",112,-0.0474862023909012,-0.110572399518507,0.0173785354536534
"49",49,"Zabul","Rural",783,-0.0474035158707583,-0.121791523101089,0.0281521176991643
"50",50,"Kandahar","Urban",396,-0.0473914944297906,-0.127033482134628,0.0321735390320421
"51",51,"Kandahar","Rural",688,-0.04442610759727,-0.110091065496338,0.0189644106638956
"52",52,"Jawzjan","Urban",243,-0.0442216434036471,-0.102260375510808,0.0160907626623113
"53",53,"Jawzjan","Rural",681,-0.0440175812732789,-0.110596192840593,0.0287394064823251
"54",54,"Faryab","Urban",120,-0.0437904038260353,-0.119895609903393,0.0338408423889171
"55",55,"Faryab","Rural",692,-0.0430644741776388,-0.100512230883923,0.0154488192836899
"56",56,"Helmand","Urban",127,-0.042823219340137,-0.117508956168037,0.0380754025360848
"57",57,"Helmand","Rural",795,-0.0427552295277117,-0.101367423234364,0.0217074991371348
"58",58,"Badghis","Urban",50,-0.0415142606901737,-0.115495455455581,0.0350300599152463
"59",59,"Badghis","Rural",704,-0.0354559936720499,-0.0990914868240399,0.0285455163721884
"60",60,"Herat","Urban",340,-0.0350064500417213,-0.0886083365448686,0.0173424598230385
"61",61,"Herat","Rural",692,-0.0347957336710018,-0.0829720774816737,0.0169251346205318
"62",62,"Maidan Wardak","Urban",52,-0.0321257442916917,-0.0938020862338463,0.0355601878095668
"63",63,"Farah","Urban",52,-0.0315285191843594,-0.0966660175255373,0.0345114794934363
"64",64,"Farah","Rural",651,-0.0281810379174153,-0.0916066786018723,0.042615805181734
"65",65,"Nimroz","Urban",190,-0.0252567279602755,-0.0849283379472805,0.0395885536923421
"66",66,"Nimroz","Rural",577,-0.0246803863054769,-0.08130871313735,0.0356878018090057
