"","x","province","area","stratum_sample_size","F","L","U"
"1",1,"Kabul","Urban",717,0.254477834621961,0.22471400623132,0.282555192913585
"2",2,"Maidan Wardak","Rural",761,0.265445964434424,0.236540084968036,0.292892834857264
"3",3,"Logar","Urban",62,0.266355214543776,0.232039976503503,0.296066775312126
"4",4,"Logar","Rural",894,0.269998984810112,0.241456997455728,0.299205502418082
"5",5,"Nangarhar","Urban",134,0.27079838962534,0.243675070740913,0.297250223004562
"6",6,"Nangarhar","Rural",756,0.270832336534801,0.239349471010584,0.300586974216107
"7",7,"Laghman","Urban",46,0.271646479486991,0.231338909142229,0.307002517671327
"8",8,"Laghman","Rural",815,0.272675095855652,0.232196608334772,0.313135179898178
"9",9,"Panjsher","Rural",668,0.27273309172231,0.236597022284191,0.304865114062907
"10",10,"Baghlan","Urban",246,0.272972896641237,0.241774363203831,0.303784655854713
"11",11,"Baghlan","Rural",357,0.273199303111348,0.248146041729329,0.297232175607357
"12",12,"Bamyan","Urban",127,0.273412803100847,0.233586788180195,0.310679627695388
"13",13,"Bamyan","Rural",633,0.27449417562676,0.237153606759659,0.309719696054319
"14",14,"Kabul","Rural",159,0.275215707064362,0.248366968665436,0.299771399629156
"15",15,"Ghazni","Urban",72,0.276355892460092,0.241903632434138,0.308820774432701
"16",16,"Ghazni","Rural",735,0.276361643166173,0.25116007031356,0.301629390052746
"17",17,"Paktika","Urban",31,0.276692094154026,0.243787108271481,0.308986364059669
"18",18,"Paktika","Rural",994,0.276877721371823,0.247342965493775,0.306973853777503
"19",19,"Paktya","Urban",166,0.277171893894693,0.237562436403993,0.317728145421476
"20",20,"Kapisa","Urban",64,0.277748380236205,0.2407694887354,0.313637043478643
"21",21,"Paktya","Rural",907,0.278062699027963,0.246404198678945,0.30948362749448
"22",22,"Khost","Urban",149,0.278094153207614,0.248475276829258,0.311140276861845
"23",23,"Kapisa","Rural",655,0.278117597343506,0.244528061701348,0.311598390539546
"24",24,"Khost","Rural",1039,0.279059904944885,0.252275319530265,0.30752901184776
"25",25,"Kunarha","Urban",92,0.279296076746059,0.241909520663369,0.315599158495818
"26",26,"Kunarha","Rural",747,0.2793712400078,0.25222658273987,0.305978065522262
"27",27,"Nooristan","Rural",969,0.279896816503899,0.253585141349154,0.306990296266984
"28",28,"Badakhshan","Urban",57,0.279949534501114,0.24203992162759,0.317864658442585
"29",29,"Badakhshan","Rural",670,0.280756791080392,0.23886713783141,0.32248435639647
"30",30,"Takhar","Urban",96,0.280917178519781,0.242054838004157,0.321697106728809
"31",31,"Takhar","Rural",587,0.281064742540093,0.242455276187545,0.317208793138239
"32",32,"Kunduz","Urban",229,0.281724724969026,0.258394209259185,0.305818215511145
"33",33,"Kunduz","Rural",522,0.281942543969698,0.241101626921011,0.321670060485176
"34",34,"Samangan","Urban",98,0.282232611893934,0.245909728353266,0.319797339973262
"35",35,"Samangan","Rural",668,0.282237727376877,0.245751550197646,0.320936370591026
"36",36,"Balkh","Urban",260,0.282338854851437,0.261225956789949,0.304305642564814
"37",37,"Balkh","Rural",408,0.283016323376311,0.251988935705298,0.315400849040097
"38",38,"Sar-e-Pul","Urban",57,0.283115309253432,0.244432640024383,0.323695477072675
"39",39,"Sar-e-Pul","Rural",831,0.283456522408792,0.255085553973285,0.313626285526393
"40",40,"Parwan","Urban",140,0.283672224072014,0.254003447758364,0.312414075737362
"41",41,"Ghor","Urban",52,0.283921276238119,0.24534696798803,0.32340081956629
"42",42,"Ghor","Rural",722,0.284007613171195,0.245920756559672,0.323476038108487
"43",43,"Daykundi","Urban",52,0.284331576083909,0.2525949491686,0.317001173796035
"44",44,"Daykundi","Rural",690,0.285396108268066,0.254069960481677,0.317090475328911
"45",45,"Parwan","Rural",722,0.286985539696544,0.251881834687875,0.324106261692221
"46",46,"Urozgan","Urban",93,0.287151148512612,0.259367753430993,0.314961435571291
"47",47,"Urozgan","Rural",669,0.28728812820671,0.261446255470073,0.314739390768959
"48",48,"Zabul","Urban",112,0.287308327789861,0.251061906847564,0.326388446184139
"49",49,"Zabul","Rural",783,0.287420811513046,0.254288557543145,0.323827442131946
"50",50,"Kandahar","Urban",396,0.287795158207823,0.254914088467301,0.320946130593396
"51",51,"Kandahar","Rural",688,0.28786547025968,0.251222027632762,0.326655519609106
"52",52,"Jawzjan","Urban",243,0.288047847185463,0.260251833508331,0.319668313815923
"53",53,"Jawzjan","Rural",681,0.288100441666807,0.260869381584695,0.317204385904119
"54",54,"Faryab","Urban",120,0.2884087328345,0.252101884920718,0.325494211982974
"55",55,"Faryab","Rural",692,0.290656191286681,0.254554758430621,0.327486256816546
"56",56,"Helmand","Urban",127,0.29080927400935,0.251317956445919,0.33274165124669
"57",57,"Helmand","Rural",795,0.293705845118613,0.273252003869371,0.314152486609211
"58",58,"Badghis","Urban",50,0.293991885985785,0.264890283047774,0.325374878526348
"59",59,"Badghis","Rural",704,0.294179313103248,0.269480126422601,0.321579402243578
"60",60,"Herat","Urban",340,0.295568964098738,0.262112440876686,0.328050496994564
"61",61,"Herat","Rural",692,0.298435492367198,0.268941632096221,0.330188938628124
"62",62,"Maidan Wardak","Urban",52,0.300272355113386,0.270354734319716,0.331208476460939
"63",63,"Farah","Urban",52,0.302422868192073,0.276587236788721,0.328367917437905
"64",64,"Farah","Rural",651,0.302558394579961,0.277134563269368,0.330459052669153
"65",65,"Nimroz","Urban",190,0.305634493669141,0.285912218977309,0.326066668755238
"66",66,"Nimroz","Rural",577,0.324091988860294,0.30230078682503,0.345650963063901
