"","x","province","area","stratum_sample_size","F","L","U"
"1",1,"Kabul","Urban",717,-0.00384061000010577,-0.0041518433238875,-0.00352639338380673
"2",2,"Maidan Wardak","Rural",761,-0.00352826988230785,-0.00399046994733279,-0.00308220168434086
"3",3,"Logar","Urban",62,-0.00352539616456255,-0.00401313844115756,-0.00308362452225273
"4",4,"Logar","Rural",894,-0.00352125969404427,-0.00392355506439496,-0.00314947109011998
"5",5,"Nangarhar","Urban",134,-0.00351018336892987,-0.00381056530180259,-0.00321434262660619
"6",6,"Nangarhar","Rural",756,-0.00348190891310324,-0.00385730453720551,-0.00311814133325665
"7",7,"Laghman","Urban",46,-0.003402990278622,-0.00381806380444287,-0.00302970921582423
"8",8,"Laghman","Rural",815,-0.00338273004589972,-0.00385256883603102,-0.00296122107316297
"9",9,"Panjsher","Rural",668,-0.0033818950679557,-0.00367111451874076,-0.0030900880105594
"10",10,"Baghlan","Urban",246,-0.003378646652831,-0.00385566955981447,-0.00288632361868601
"11",11,"Baghlan","Rural",357,-0.00336999576494097,-0.00380153750002068,-0.00295810281424661
"12",12,"Bamyan","Urban",127,-0.00335850165044818,-0.0039259604747114,-0.00279623891108452
"13",13,"Bamyan","Rural",633,-0.00332788248624904,-0.00398586551027284,-0.00273515008189275
"14",14,"Kabul","Rural",159,-0.00331506227327003,-0.00381070769414437,-0.00283497380062554
"15",15,"Ghazni","Urban",72,-0.00327854851043832,-0.00375927276234153,-0.00281715609954558
"16",16,"Ghazni","Rural",735,-0.0032712623847717,-0.00368073956045339,-0.00286500378269869
"17",17,"Paktika","Urban",31,-0.00326839410468163,-0.00387497892658633,-0.00266935288878806
"18",18,"Paktika","Rural",994,-0.00326815006560043,-0.00383131640590967,-0.00272857904356492
"19",19,"Paktya","Urban",166,-0.00326643809285826,-0.00376951605857517,-0.00278020429222259
"20",20,"Kapisa","Urban",64,-0.00326420715312394,-0.00382361677713318,-0.00275721974675675
"21",21,"Paktya","Rural",907,-0.00326329379911417,-0.00382888866881167,-0.00272114995139785
"22",22,"Khost","Urban",149,-0.00326025833736747,-0.00365139310494244,-0.00289483043256928
"23",23,"Kapisa","Rural",655,-0.00324607574076864,-0.00384734808877194,-0.00269418843075447
"24",24,"Khost","Rural",1039,-0.00324456015224522,-0.00367103751451959,-0.00282075310495248
"25",25,"Kunarha","Urban",92,-0.00322670950237147,-0.00357743208181524,-0.00289142074921237
"26",26,"Kunarha","Rural",747,-0.00322165090658401,-0.0038426977558969,-0.00263132406425698
"27",27,"Nooristan","Rural",969,-0.00320818737075444,-0.00381540010740039,-0.00261109343425597
"28",28,"Badakhshan","Urban",57,-0.0031996662255893,-0.00379840623432708,-0.00261891791481262
"29",29,"Badakhshan","Rural",670,-0.0031887422720532,-0.003636410901536,-0.002785731324707
"30",30,"Takhar","Urban",96,-0.00317457765254711,-0.00374394149469143,-0.0026033070553068
"31",31,"Takhar","Rural",587,-0.00317417980884763,-0.00378365808131273,-0.00256130919872654
"32",32,"Kunduz","Urban",229,-0.00317009079279765,-0.00379186531346044,-0.00252802090355248
"33",33,"Kunduz","Rural",522,-0.00316368776863555,-0.00371968981077874,-0.00259279307859385
"34",34,"Samangan","Urban",98,-0.00316220802649615,-0.00380757446712991,-0.00251856688886961
"35",35,"Samangan","Rural",668,-0.00316057868740442,-0.00355611813183948,-0.00276009646494482
"36",36,"Balkh","Urban",260,-0.00315688802156314,-0.0036307656464296,-0.00270751528313576
"37",37,"Balkh","Rural",408,-0.00315591302500654,-0.00361655144635357,-0.00267600158328313
"38",38,"Sar-e-Pul","Urban",57,-0.00315148388973147,-0.00377597948117948,-0.00253450903028945
"39",39,"Sar-e-Pul","Rural",831,-0.00314829450343353,-0.00358729953554111,-0.00272648879103765
"40",40,"Parwan","Urban",140,-0.00314679831383168,-0.00374758843311163,-0.00256107635657967
"41",41,"Ghor","Urban",52,-0.00314585397406751,-0.00370809551553857,-0.00258566562118611
"42",42,"Ghor","Rural",722,-0.00314468216245941,-0.00346388179323811,-0.00283732035815599
"43",43,"Daykundi","Urban",52,-0.00313886279146978,-0.0036418691882223,-0.00263659874114042
"44",44,"Daykundi","Rural",690,-0.00313405012783722,-0.00369104813255987,-0.00254687842429444
"45",45,"Parwan","Rural",722,-0.00312195313650043,-0.00361270698663516,-0.00262191187137119
"46",46,"Urozgan","Urban",93,-0.003099328117572,-0.00348776042110481,-0.00271793890970015
"47",47,"Urozgan","Rural",669,-0.00309848540208962,-0.00375147093813326,-0.00248752884104227
"48",48,"Zabul","Urban",112,-0.0030885607268096,-0.00345947013345984,-0.00271536950413604
"49",49,"Zabul","Rural",783,-0.00308588058079957,-0.00351779036006723,-0.00265632839632284
