"","x","province","area","stratum_sample_size","F","L","U"
"1",1,"Kabul","Urban",717,-0.0601998231056386,-0.0662740727277153,-0.0543271102782822
"2",2,"Maidan Wardak","Rural",761,-0.0576675542595671,-0.0624147860663829,-0.0528970330523925
"3",3,"Logar","Urban",62,-0.0571504463693416,-0.0663886333563749,-0.0484765715359078
"4",4,"Logar","Rural",894,-0.0558317118783026,-0.065301768852445,-0.0462044343770593
"5",5,"Nangarhar","Urban",134,-0.053127626345026,-0.0652821835948533,-0.0416464958420571
"6",6,"Nangarhar","Rural",756,-0.0514841130133372,-0.0584042752008037,-0.04470325060239
"7",7,"Laghman","Urban",46,-0.0501250753534441,-0.0665476485816327,-0.0345007173804346
"8",8,"Laghman","Rural",815,-0.0499985567234935,-0.0554905352616744,-0.0444796832034906
"9",9,"Panjsher","Rural",668,-0.0489451953517378,-0.0610090659776101,-0.0377431720852327
"10",10,"Baghlan","Urban",246,-0.0487733680475232,-0.0563858036179283,-0.0415700924314023
"11",11,"Baghlan","Rural",357,-0.04847302489559,-0.0552174909365584,-0.0415424472373044
"12",12,"Bamyan","Urban",127,-0.0474929649973593,-0.0621312623713299,-0.033921771641374
"13",13,"Bamyan","Rural",633,-0.0469630693298818,-0.0582833175389321,-0.0355445211415621
"14",14,"Kabul","Rural",159,-0.046387996435862,-0.0546216395708026,-0.0380872142935634
"15",15,"Ghazni","Urban",72,-0.0463837532844035,-0.0558834990367262,-0.0367300271477376
"16",16,"Ghazni","Rural",735,-0.0456588489723657,-0.0614163698540084,-0.0307422450694957
"17",17,"Paktika","Urban",31,-0.0455942922173672,-0.0613898842433889,-0.0303139813417702
"18",18,"Paktika","Rural",994,-0.0454338027882464,-0.0544931636087392,-0.0364873247399348
"19",19,"Paktya","Urban",166,-0.045215717322984,-0.0543061136005724,-0.036239969343409
"20",20,"Kapisa","Urban",64,-0.0451903694649694,-0.0509352187178087,-0.0397329226350845
"21",21,"Paktya","Rural",907,-0.0445646201813524,-0.0533213356501579,-0.0352713136804368
"22",22,"Khost","Urban",149,-0.0442142068949042,-0.0604690443877366,-0.0281906758851411
"23",23,"Kapisa","Rural",655,-0.0440079802893074,-0.0517853233270353,-0.0364601333264565
"24",24,"Khost","Rural",1039,-0.0438485536196814,-0.0553025677841261,-0.0325345334645111
"25",25,"Kunarha","Urban",92,-0.0436642054054542,-0.0517974618080389,-0.0353519402018303
"26",26,"Kunarha","Rural",747,-0.0435266608772113,-0.057546571591045,-0.0286388190882142
"27",27,"Nooristan","Rural",969,-0.0434848500026023,-0.0551998256491085,-0.0325679819462404
"28",28,"Badakhshan","Urban",57,-0.0432027682163639,-0.0530752633065936,-0.0333274405152158
"29",29,"Badakhshan","Rural",670,-0.0431853737392309,-0.0601671913867421,-0.0251445217146747
"30",30,"Takhar","Urban",96,-0.0430947277318574,-0.0571906552604123,-0.02935842648171
"31",31,"Takhar","Rural",587,-0.0430114896734387,-0.0563278131913706,-0.0300605213316629
"32",32,"Kunduz","Urban",229,-0.0427741472851369,-0.0562669450088654,-0.0286482990363471
"33",33,"Kunduz","Rural",522,-0.0419654054655541,-0.0520272005684617,-0.0320699043403161
"34",34,"Samangan","Urban",98,-0.0419569030804317,-0.0584841214933707,-0.025185549999094
"35",35,"Samangan","Rural",668,-0.0418559423734215,-0.051999809887419,-0.0316341607618652
"36",36,"Balkh","Urban",260,-0.041769723675456,-0.0491027638241231,-0.0346271441346314
