"","x","province","area","stratum_sample_size","F","L","U"
"1",1,"Kabul","Urban",717,-0.223784053567958,-0.300172219984068,-0.153173584521042
"2",2,"Maidan Wardak","Rural",761,-0.154153682401473,-0.21966986725025,-0.0912618908027675
"3",3,"Logar","Urban",62,-0.145392796053998,-0.26145657826547,-0.0417054757637508
"4",4,"Logar","Rural",894,-0.139172432486242,-0.237448246786822,-0.0485494084311794
"5",5,"Nangarhar","Urban",134,-0.121657712808207,-0.227861845757531,-0.0268491716522748
"6",6,"Nangarhar","Rural",756,-0.11815250380104,-0.207470475261186,-0.0337983182617031
"7",7,"Laghman","Urban",46,-0.108410770647676,-0.224774733051148,0.00498647526377571
"8",8,"Laghman","Rural",815,-0.103854907266767,-0.21844294009335,0.00522222470391605
"9",9,"Panjsher","Rural",668,-0.0980097635765587,-0.182887197698389,-0.015694850569529
"10",10,"Baghlan","Urban",246,-0.0974609108908416,-0.219633997322823,0.0267298859152201
"11",11,"Baghlan","Rural",357,-0.0970983437829261,-0.221424399231666,0.00947249684177016
"12",12,"Bamyan","Urban",127,-0.0960322758691491,-0.187727092714565,-0.00665223727492571
"13",13,"Bamyan","Rural",633,-0.0936524809253485,-0.199720912226888,0.00968701471595521
"14",14,"Kabul","Rural",159,-0.0932156719727643,-0.17227244926894,-0.0180244840297355
"15",15,"Ghazni","Urban",72,-0.0914287114073626,-0.227484268076358,0.0353038691464322
"16",16,"Ghazni","Rural",735,-0.0855852667409641,-0.196325798011563,0.0249125997709336
"17",17,"Paktika","Urban",31,-0.0808551476000419,-0.213647243708791,0.0468195697805617
"18",18,"Paktika","Rural",994,-0.0802277300152962,-0.216931388174175,0.0500811442423702
"19",19,"Paktya","Urban",166,-0.0801828818509379,-0.208225837163398,0.0475545041981739
"20",20,"Kapisa","Urban",64,-0.0768283407597992,-0.189799611874897,0.0268465499758196
"21",21,"Paktya","Rural",907,-0.0747545479038137,-0.182096249647676,0.0268385413552552
"22",22,"Khost","Urban",149,-0.0737724434165705,-0.213960308186118,0.0634289572269983
"23",23,"Kapisa","Rural",655,-0.073518003853105,-0.185824863523186,0.0341577730750202
"24",24,"Khost","Rural",1039,-0.0732988707777983,-0.203941185375941,0.0486028442953041
"25",25,"Kunarha","Urban",92,-0.073288865173659,-0.213023037083819,0.0620087032216289
"26",26,"Kunarha","Rural",747,-0.0720965396658269,-0.20612899388989,0.0553179579394029
"27",27,"Nooristan","Rural",969,-0.0713189490581117,-0.210275939837961,0.0648042637292648
"28",28,"Badakhshan","Urban",57,-0.0679760842188869,-0.210962226804801,0.071908406495765
"29",29,"Badakhshan","Rural",670,-0.0677345423275749,-0.209282769007735,0.0718032620029407
"30",30,"Takhar","Urban",96,-0.0676513389946115,-0.215735242873813,0.0773564258138804
"31",31,"Takhar","Rural",587,-0.0649148287010801,-0.181179148299289,0.0488764408451298
"32",32,"Kunduz","Urban",229,-0.0638011912846601,-0.173858215794164,0.0433540840709086
"33",33,"Kunduz","Rural",522,-0.0628650438552788,-0.19421986225064,0.0676848683299419
